                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.43622,                0.47427,                0.96037,                0.74255,                0.89881,                0.91858,                0.76419,                0.54696,                0.58913,                 1.0879,             0.00043937,             0.00043937,             0.00043937
                     48,                0.42367,                 0.4521,                0.94839,                0.93562,                0.81315,                0.95784,                0.87483,                0.49141,                0.48115,                 1.0167,             0.00043525,             0.00043525,             0.00043525
                     49,                0.43291,                0.44744,                0.94896,                 0.9171,                0.89444,                0.93569,                0.79114,                0.62604,                0.58773,                 1.2019,             0.00043112,             0.00043112,             0.00043112
                     50,                0.43173,                0.45221,                0.95843,                0.93164,                0.86515,                0.93779,                0.79739,                0.52596,                0.54293,                 1.0587,               0.000427,               0.000427,               0.000427
                     51,                0.43232,                0.47545,                0.96012,                0.91391,                0.85289,                0.93544,                0.80102,                0.53498,                0.58708,                 1.0451,             0.00042288,             0.00042288,             0.00042288
                     52,                0.40494,                0.42014,                 0.9488,                0.92626,                0.75468,                0.93788,                0.77691,                 0.5645,                 0.6018,                 1.1047,             0.00041875,             0.00041875,             0.00041875
                     53,                 0.4178,                0.44818,                 0.9509,                0.88919,                0.88428,                0.95968,                0.79769,                0.48716,                0.51993,                 1.0142,             0.00041462,             0.00041462,             0.00041462
                     54,                0.42451,                0.44382,                0.94976,                0.92381,                0.83525,                0.92519,                0.81106,                0.52566,                0.61535,                 1.0611,              0.0004105,              0.0004105,              0.0004105
                     55,                0.41318,                0.44025,                0.95155,                 0.8981,                0.87993,                0.94271,                0.82576,                0.56055,                 0.5797,                  1.087,             0.00040638,             0.00040638,             0.00040638
                     56,                0.42768,                0.44241,                0.94935,                0.82801,                0.88995,                0.95417,                0.85766,                0.51689,                0.55468,                 1.0401,             0.00040225,             0.00040225,             0.00040225
                     57,                0.40973,                0.40706,                0.94895,                0.88235,                0.79653,                0.82573,                0.69738,                 0.5667,                0.63159,                 1.1251,             0.00039813,             0.00039813,             0.00039813
                     58,                0.40697,                0.41318,                0.93821,                0.92388,                0.79301,                0.91412,                0.77945,                0.54556,                0.57317,                 1.0886,               0.000394,               0.000394,               0.000394
                     59,                0.39526,                0.39818,                0.93774,                0.89457,                0.90056,                0.95107,                0.81398,                0.52596,                0.49607,                 1.0534,             0.00038988,             0.00038988,             0.00038988
                     60,                0.40045,                0.39633,                0.94146,                0.89979,                0.88194,                0.93798,                0.81424,                0.54607,                0.54863,                 1.0763,             0.00038575,             0.00038575,             0.00038575
